artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
"""Cats"" 1981 Original London Cast",0.5750833333333334,0.44275,247260.0,0.3863358333333334,0.022717396666666667,0.2877083333333333,-14.205416666666665,0.18067500000000009,115.9835,0.3344333333333333,38.0,5,1,12
"""Cats"" 1983 Broadway Cast",0.8625384615384614,0.4417307692307693,287280.0,0.4068076923076924,0.08115826423076923,0.31521538461538456,-10.69,0.17621153846153847,103.04415384615385,0.2688653846153846,33.07692307692308,5,1,26
"""Fiddler On The Roof” Motion Picture Chorus",0.8565714285714285,0.34828571428571425,328920.0,0.2865714285714285,0.024592948571428568,0.3257857142857143,-15.230714285714285,0.1185142857142857,77.37585714285714,0.3548571428571429,34.285714285714285,0,1,7
"""Fiddler On The Roof” Motion Picture Orchestra",0.884925925925926,0.4250740740740739,262890.96296296304,0.2457703703703704,0.07358727925925927,0.2754814814814815,-15.639370370370367,0.12320000000000005,88.66762962962964,0.3720296296296296,34.44444444444444,0,1,27
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",0.6054444444444445,0.4373333333333334,232428.1111111111,0.4293333333333333,0.03753356,0.21611111111111114,-11.447222222222221,0.08600000000000002,120.32966666666664,0.4586666666666666,42.55555555555557,11,1,9
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",0.6095555555555555,0.4872777777777777,205091.9444444445,0.30990555555555555,0.004695656666666668,0.2747666666666666,-18.266388888888887,0.09802222222222222,118.64894444444441,0.4415555555555557,34.166666666666664,5,1,36
"""Mama"" Helen Teagarden",0.725,0.637,135533.0,0.512,0.18600000000000005,0.426,-20.615,0.21,134.819,0.885,0.0,8,1,2
"""Mista Dj Paul",0.0069,0.8490000000000001,123040.0,0.487,0.464,0.146,-9.664,0.35100000000000003,170.981,0.499,36.0,4,0,1
"""Test for Victor Young""",0.927,0.7340000000000001,175693.0,0.474,0.0762,0.737,-10.544,0.256,132.78799999999998,0.902,2.0,10,1,2
"""Weird Al"" Yankovic",0.17693409090909093,0.664787878787879,218165.25757575766,0.6851363636363638,4.631757575757574e-05,0.16213939393939394,-9.877909090909096,0.08239242424242428,132.49509090909086,0.7544090909090906,33.68181818181818,9,1,132
$IMEON,0.2423,0.8066666666666666,66307.33333333331,0.469,1.3933333333333333e-06,0.2043333333333333,-12.168,0.4826666666666666,106.02000000000002,0.5920000000000001,62.66666666666666,6,0,6
$NOT,0.5469999999999999,0.7501249999999999,152929.5,0.51975,0.0431371375,0.21397500000000005,-8.8785,0.276725,114.229125,0.3195,64.625,6,1,8
