name,spotify_id,popularity
Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,100.0
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,97.0
Dynamite,0t1kP63rueHleOhQkYSXFY,97.0
ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,96.0
For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,95.0
Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,95.0
Hawái,4uoR6qeWeuL4Qeu2qJzkuG,95.0
Lemonade,02kDW379Yfd5PzW5A6vuGt,94.0
Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,94.0
Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,94.0
Heather,4xqrdfXkTW4T0RauPLv3WA,94.0
Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,94.0
you broke me first,45bE4HXI0AwGZXfZtMp8JR,94.0
Breaking Me,3H7ihDc1dqLriiWXwsc2po,93.0
UN DIA (ONE DAY) (Feat. Tainy),0EhpEsp4L0oRGM0vmeaN5e,93.0
POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,93.0
Breaking Me,3H7ihDc1dqLriiWXwsc2po,93.0
Mood Swings (feat. Lil Tjay),5rZlwNFl01HqLWBQGryKSm,92.0
death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,92.0
Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,91.0
Midnight Sky,27ycaQnQAxaPiyeg3nr2aB,91.0
Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,91.0
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,91.0
Wishing Well,2U5WueTLIK5WJLD7mvDODv,91.0
What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,91.0
Come & Go (with Marshmello),2Y0wPrPQBrGhoLn14xRYCG,91.0
Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,90.0
ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,90.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,90.0
GREECE (feat. Drake),35RJhm1pEovTBwnNR0zWad,90.0
Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,90.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,90.0
Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,90.0
ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,90.0
The Box,0nbXyq5TXYPCO7pr3N8S4I,89.0
Circles,21jGcNKet2qwijlDFuPiPb,89.0
The Box,0nbXyq5TXYPCO7pr3N8S4I,89.0
The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,89.0
Memories,2b8fOow8UzyDFAE27YhOZM,89.0
Circles,21jGcNKet2qwijlDFuPiPb,89.0
Memories,2b8fOow8UzyDFAE27YhOZM,89.0
Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,88.0
Robbery,6Hj9jySrnFppAI0sEMCZpJ,88.0
Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,88.0
