name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,100.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,97.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Dynamite,0t1kP63rueHleOhQkYSXFY,97.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,96.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,95.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,95.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Hawái,4uoR6qeWeuL4Qeu2qJzkuG,95.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Lemonade,02kDW379Yfd5PzW5A6vuGt,94.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,94.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,94.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Heather,4xqrdfXkTW4T0RauPLv3WA,94.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,94.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
you broke me first,45bE4HXI0AwGZXfZtMp8JR,94.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Breaking Me,3H7ihDc1dqLriiWXwsc2po,93.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
UN DIA (ONE DAY) (Feat. Tainy),0EhpEsp4L0oRGM0vmeaN5e,93.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,93.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Mood Swings (feat. Lil Tjay),5rZlwNFl01HqLWBQGryKSm,92.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,92.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,91.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Midnight Sky,27ycaQnQAxaPiyeg3nr2aB,91.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,91.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,91.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Wishing Well,2U5WueTLIK5WJLD7mvDODv,91.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,91.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Come & Go (with Marshmello),2Y0wPrPQBrGhoLn14xRYCG,91.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,90.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,90.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,90.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
GREECE (feat. Drake),35RJhm1pEovTBwnNR0zWad,90.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
