,name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
20000,I Remember,62h4GYm6aTqS0dsfJtKYIX,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20001,Battle of the Heroes,1u3nu8fNWFua6mQjw4ReEt,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20002,All By Myself - Single Edit,6G3DBTj1s8fuKMAvzTK5JI,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20003,O.P.P. (Re-Recorded),19QKzuW4mgq2Kuu7aHa4Ll,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20004,Would I Lie to You? - Remastered Version,1lJZSsMoWEbrgaY6CxPMf8,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20005,Cómo Me Duele,50GRxHQ3cW2yBmlPIF9urf,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20006,Hotel (feat. R. Kelly),4hHXhCRSnOKd6nMGaivmD0,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20007,Big Pimpin' / Papercut,4DLH2fr8pWX1iksMrk47Kw,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20008,Pedron Antraxx,5d0NFQJ1O2CUMMtmgjwK3F,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20009,Aguanta Corazón,15wuN0eAzGzwLZk5AD9ptF,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20010,Guns for Hire,31F5kR9fPxI7lBV0Stfl4V,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20011,Sam's Town,77Kh98jRHI40rIAKnBs7cl,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20012,Don't Think They Know (feat. Aaliyah),3uVCPFmavlWGQUqeYh8HhR,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20013,Girls Just Want to Have Fun,0QVgZCAnasHo3TevIz7XLW,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20014,Seven Nights In Eire,4CZrDF50zES5KDHmZbX2BG,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20015,Life in a Northern Town,4m3OS54KWywYhP7WD7z1cg,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20016,Y No Hago Mas Na',4fHYtAHpAmsFDq7kTLzgh5,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20017,Wifey,3NEzjZbeSCy72Kx1clSYgC,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20018,Y Aquí Estoy,2fKimbKY2cu68b63kYODbB,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20019,Sweet Sacrifice,7hlXiMxN81uctLsvbtHZ8x,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20020,Black Magic,4cJhBmeJ7KiBeuy7oxRnZ3,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20021,Happily Ever After,21fXrzSxu2y51Yqf57QycI,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20022,drowning.,1Gu6GxGcH3D0abQDS2IOyF,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20023,I Should Live in Salt,6gf7WF9nXNON9HdNtrdEDq,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20024,Lean on Me,20kN7bu0HMO8rIVY6tEytW,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20025,Forever And Ever,4ZOmgxC7Uf3YrjeDrSWytk,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20026,White Trash Beautiful,7e1xwG8jnFyCWtHXt0P4AM,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20027,Mi Viejo,5jmuiCbNU1SEvFKqMadOZR,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20028,Lá vem o sol,74o1pFywinH2eEPxbbaLqc,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20029,Griechischer Wein,2f8Hc0w7BpDtzwoa6BHKec,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20030,Back to You,6iB4FVNBjXR9M5nhvSlZde,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20031,Oh Yeah - Remastered 2005,1iOHLlEsMbgJfYBFWy4TjG,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20032,Turn up the Speakers - Radio Edit,7102UhVPxGoYGNE2w3duPh,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20033,Victim of Love,2qcPsPqgTpl1KYgVptu3Oc,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20034,Lonely,6ls5ulRydoPE7oWGPGBqFA,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20035,Rest Of My Life,6SLUwdeias7fn6qVq6LcgP,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20036,Good Thing,6zHecELSAUYPCmYY8qHuOy,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
