,name,spotify_id,popularity
0,Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,82
1,My Boo,68vgtRHr7iZHpzGpon6Jlo,78
2,American Idiot,6nTiIhLmQ3FWhvrGafw2zj,78
3,Since U Been Gone,3xrn9i8zhNZsTtcoWgQEAd,73
4,1985,5oQcOu1omDykbIPSdSQQNJ,71
5,"One, Two Step (feat. Missy Elliott)",7uKcScNXuO3MWw6LowBjW1,74
6,Let Me Love You,3ibKnFDaa3GhpPGlOUj7ff,75
7,I'm Not Okay (I Promise),7lRlq939cDG4SzWOF4VAnd,74
8,Bless The Broken Road,4YjjNHtEsTX6Af4mCTupT5,71
9,Beautiful Soul,1HwpWwa6bnqqRhK8agG4RS,73
10,Unwritten,1D1nixOVWOxvNfWi0UD7VX,76
11,Wake Me up When September Ends,3ZffCQKLFLUvYM59XKLbVm,77
12,Duality,61mWefnWQOLf90gepjOCb3,76
13,All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,72
14,Float On,2lwwrWVKdf3LR9lbbhnr6R,70
15,Sunshine Of Your Love,2K2M0TcglCRLLpFOzKeFZA,71
16,Hollaback Girl,0LzrhCZFXW94Y8nwtTuRlw,68
17,Helena,5dTHtzHFPyi8TlTtzoz1J9,73
18,Take Me Out,6ooluO7DiEhI1zmK94nRCM,74
19,Mr. Brightside,003vvx7Niy0yvhvHt4a68B,79
20,Somewhere Only We Know,0ll8uFnc0nANY35E0Lfxvg,69
21,Live Like You Were Dying,7B1QliUMZv7gSTUGAfMRRD,68
22,Mockingbird,561jH07mF1jHuk7KlaeF0s,75
23,Cold,6ZxrUCaynLgKSUudACOTwj,68
24,Before I Forget,6wqJeItl3Vc3az4ZicSQAB,74
25,Because of You,3f3omU8n47Mqyab5nCaGyT,71
26,Drop It Like It's Hot,2NBQmPrOEEjA8VbeWOQGxO,67
27,Gasolina,6jEZLz3YpnEBRpVkv35AmP,76
28,Save a Horse (Ride a Cowboy),5s7m2xNZWgz5FqVSIvJcGA,68
29,Somebody Told Me,7HGTkn2aX7MNdKs7nV2xBt,67
30,Numb / Encore,5sNESr6pQfIhL3krM8CtZn,76
31,Broken,507bYMYfbm6sUS9iEAaeSd,69
32,Scars,1UREw2MCfU0xwBzCAjxlUD,66
33,Yo Voy (feat. Daddy Yankee),5gflgO9EPbIBf16n5TKnQS,72
34,Holiday / Boulevard of Broken Dreams,0MsrWnxQZxPAcov7c74sSo,71
35,Freek-A-Leek,4MeDnO5yA2Zi6IMlVApRci,64
36,Santa Monica - Remastered,7iU5Lm0gZ5HRu9YPlO8NpI,66
37,When the Sun Goes Down,5vLonpxn4VN0A8GtQOBSG0,65
38,Through The Wire,4mmkhcEm1Ljy1U9nwtsxUo,68
39,Wagon Wheel,359krpyCKcFF8SFvqWES9L,66
40,Jesus Walks,5g1vtHqi9uV7xtYeCcFOBx,68
41,Amber,51UtgWS4z1eMPuLQOzPtNH,65
42,Jolene,2fSIF8CJhoc9CJhF9vJDXp,66
43,Ohio Is for Lovers,6QfnvcOKsdN4Q6exUWVuzn,64
44,Burn,7z3N2W7Xz1t2G2sAO8wFVH,69
45,Let's Go (feat. Big D & Twista),1fLibtVj3MrNTwRZq5yUOs,66
46,Goodies (feat. Petey Pablo),3dFwpxh2yH7C7p9BGEKLVB,67
47,Overnight Celebrity,2tOZtdbkAMQASWokLvSlzj,65
48,Something to Be Proud Of,4D8uIY6Wzj7dJDaw0dW0UF,63
49,Let Me Love You,5WphWTUIfRe7x8NZss79cY,65
99,Slow Jamz,3A4cpTBPaIQdtPFb5JxtaX,65
149,Confessions Part II,7wBThXx7BGZHJJ3aN3OPvv,68
199,All These Things That I've Done,0kYUrLVQOfx21xuXu7OGrT,64
249,Call Me,7HKxTNVlkHsfMLhigmhC0I,65
299,My Band,4XHQyvbrBsQaaBUW1VvmsL,68
349,"Lo Que Pasó, Pasó",6z5Xrx58p5Bs18RIe6KXbI,73
399,Hold You in My Arms,1U1GtaJeYwGsPgqV9Me5bb,65
449,Tipsy - Club Mix,0jSMveIWvnhDIvzqN74Uc7,63
499,Mountain Music,7BjmEKAVTnJNkRNaUzBy2K,62
549,Bowl For Two,260F1LrhRMiuXOZIaypMZd,62
599,Be My Escape,3Vi93V7o1tT28Cut4gSWi3,64
649,Lovers And Friends,41PWz0hAiU9FqsmjR9Wh62,64
699,Sunshine,4s0o8TJHfX9LLHa0umnOzT,62
749,The Ghost of You,1yKAqZoi8xWGLCf5vajroL,67
799,Me Dediqué a Perderte,4NUt1fcnO9aQAELBgXq3Kr,77
849,Some Beach,7kWeSMXLxUHHOkFxsS0vhP,62
899,Redneck Woman,26bL4gSULWDgdIMX0pRFrG,62
949,Rich Girl,2Y2q7PkD7lvuWr8YaZfWuv,62
999,Can't Be Touched (feat. Mr. Magic & Trouble),3zmduBNsQ6BPDTZAkXzG5K,72
1049,Breakaway,61Qhe2mHSLhUE04QeK4lkD,64
1099,Soldier (feat. T.I. & Lil' Wayne),4FTOpNYcGxnQdGNWSxIcio,66
1149,Welcome to My Life,714Lw0m2SmCEhKSPw0Dn8J,60
1199,Bring Em Out,3CcvahnsiArpTHYQEWV2Au,62
1249,Accidentally In Love,4ccM2xBxicGigjLqt6A0YY,61
1299,Colors,1ZtVN326V42hioNyRjU4P2,62
1349,Lonely,5QnM8r0kqFdM84k18aFE2V,60
1399,O Children,29FQEJUtBAnxWEkux39d7I,69
1449,Naked as We Came,1lUdXbhl6u6QMQZRTAhlWW,66
1499,"A Whole New World - From ""Aladdin"" / Soundtrack Version",1hwdPQtFHISvZ9SXMkNrIK,66
1549,Cater 2 U,6uYAPqxP69zfpCbsTHXgiz,62
1599,Breathe Me,2Bo0hh0yoQReC4reJav5DT,61
1649,Like Toy Soldiers,6CN3e26iQSj1N5lomh0mfO,68
1699,Call on Me - Radio Mix,1xNcBAoUw8Hz6LqK2jt4Ff,74
1749,Amor del Bueno,2G74yhtIMW8tJY5I83dS4Z,74
1799,I'll Be Missing You (feat. 112),3QHONiXGMGU3z68mQInncF,71
1849,Laid to Rest,1yc53HK08sDab7PDFgnLWk,66
1899,Memory,0ChpoNjXfJPjMvCIN6so6J,63
1949,Por Mujeres Como Tú,4Zd6gElrsmSyVomurxAPOD,71
1999,Somebody Told Me,6PwjJ58I4t7Mae9xfZ9l9v,71
2049,Tu Amor Me Hace Bien - Salsa Version,3yEtuhGR8jOtusa29jWrhG,70
2099,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",4BFMQ15vXr626UOoZL8bUI,69
2149,Rosas,06p2Ij0lXD45LODQDCov0u,61
2199,Pretty Girl,7BgFkKXIxv96EALb7NrnhQ,60
2249,Numb / Encore,7dyluIqv7QYVTXXZiMWPHW,70
2299,Into You (feat. Fabolous),0ceeRNqbOzRiGE42KWSrRa,64
2349,Oh (feat. Ludacris),7i7UIbm5E0DD7aSOYvwp2v,63
2399,The End of Heartache,2nUy0ifVE7UwtOK4rugFsP,62
2449,Slither,7kF1iPJTj3VFJX9XokQ80F,64
2499,Move Ya Body,2ndnVdR8si7CW9T8vJRHyW,66
2549,Southside,7lurcq2Yw96B1K0KOJAHxg,62
2599,Knuck If You Buck (feat. Lil' Scrappy),0RZXNlGPvfMo54fd6uCvAT,59
2649,Almost,6TclVCUxDQm9s3Bey6Ao8H,60
2699,Sunrise,7zkLpY72g6lKQbiHDqri1S,71
2749,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",6Wt5QBzHp9vdSLAFlvdnDQ,69
2799,Wake Up,6Hmj7SrLRbreLVfVS7mV1S,66
2849,La Camisa Negra,2EM9zpAc7PVeoAydmbfVIL,71
2899,I Go Back,57I7CUbXo4XlWuTVB8pXW6,59
2949,Here for the Party,0SuzUhWAgStNIMZR4jEGgk,59
2999,Fuck It (I Don't Want You Back),1p5kC161fWMA2QlwV3Vi4W,65
3049,Blueberry Yum Yum,26liGJfeDiHLVn0qTETkt1,60
3099,All Caps,1Y2ExJJ9Dmb9po8K0ybSj3,63
3149,My Happy Ending,6sqNctd7MlJoKDOxPVCAvU,68
3199,So Cold - Remix,4BJyt25nburVwbnESDeIc7,61
3249,Go DJ,4svCVV4VHEL3Z4efES868h,59
3299,New Year's Day,7DXNTiUCWJvomSGEGMr3H8,58
3349,Tú de Qué Vas,66iygyOSvvoQQsKJ1vEXfT,73
3399,Lo Busqué,7ceiXwNZ2DwNIJ54tsJwRY,70
3449,Bad Girl,5rPzPAaOUceS8HiAculegz,64
3499,El Rey De Mil Coronas,7JKPv7gpFkehGjpFrZJevo,64
3549,Sálvame,3hbTkJ0yFzHbawnKyhvTQj,76
3599,Ass Like That,4gXdMZkBN1neE9nX6yRALa,66
3649,A Boy Brushed Red Living In Black And White,47IWLfIKOKhFnz1FUEUIkE,60
3699,Tu Príncipe,0Q7ZM15J0cJA9rd7pQYdRq,71
3749,Walk Like an Egyptian,1Jwc3ODLQxtbnS8M9TflSP,64
3799,Shorty Wanna Ride,6Y9kdB2O0h9gq9y2vclsWT,59
3849,Just Lose It,0qcjuYtMWhBjXg0Xwt5SzS,66
3899,Letters from Home,15cGdiAHmezm0P04jVAjMo,58
3949,Toxic,717TY4sfgKQm4kFbYQIzgo,57
3999,Swing Life Away,6GrrkiCRO3HYdgRpO4eKEL,59
4049,Pain,0SUClY63fA1awioMFtMYeE,61
4099,You Know What They Do to Guys Like Us in Prison,5bTuwAgYUD5MABOIPH8ZMt,62
4149,Pobre Diabla,1xbw6jObdWhPSoN9MflOSA,57
4199,Girl,3s2MyU2YCwNNwcSokt0jXD,65
4249,Lean Back,2Ozc0me9PV5vlt8cokwdvI,64
4299,Fast Cars And Freedom,0CKba2KBPP9TFbh5Nf8i4P,58
4349,Jesus of Suburbia,58KPPL1AdLHMvR2O2PZejr,66
4399,Big Poppa - 2005 Remaster,17larILaMHwsprsMFnYI77,62
4449,Accordion,5jAvbp8kEnRPToi4Bzcvzt,61
4499,Hysteria,7xyYsOvq5Ec3P4fr6mM9fD,69
4549,Over And Over,2b8QQqf8Vwb7bfz22ja8Fk,61
4599,Must Be Nice,2mp3sLUNQaJ025Lx5f4AAJ,57
4649,"One Jump Ahead - From ""Aladdin""/Soundtrack Version",69ZNzwrCGP6h5ewkJQWWaT,60
4699,Thank You for the Venom,0BpKPyXhWsTaWkgXeOd1Sn,61
4749,The World At Large,5op53ANI4exiWqFHKuwWxd,58
4799,Tipsy - Radio Mix,2lVDc57IMK6nypg2iuEWVR,60
4849,Mr. Mom,0jSIovJtKxEXH6vI4oRx7I,57
4899,Ghetto Gospel,7jLbTp3qZzah9kMIdW8e5M,69
4949,Trouble,5aGkIyzLVYGuLIHkxpNAFF,59
4999,All That I've Got,6IxQ0PdozaZKch1m8tGCwb,58
5049,"Vermilion, Pt. 2",0O7lENhqOySbsL743G7PqD,66
5099,Rapp Snitch Knishes feat. Mr. Fantastik,4xz7WX28IkmcaHv06lCezR,60
5149,Tainted Love,0cOyhnhy13lc5G5nr4EF0q,58
5199,A Decade Under The Influence,6um5ccNzX7k3SRsVnLupvI,58
5249,There Goes My Life,1CjQCQsl9FDb3WhjGcFOzG,57
