name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
I Remember,62h4GYm6aTqS0dsfJtKYIX,54.0,Kaskade,0.672,0.5920000000000001,-7.189,0,0.0311,0.158,0.00346,0.113,0.489,https://p.scdn.co/mp3-preview/36d3fe192233e081cb68c4031c39dbbe036ede7f?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273eb53ec4ded8035b0a18c3a83
Battle of the Heroes,1u3nu8fNWFua6mQjw4ReEt,54.0,John Williams,0.174,0.298,-15.017000000000001,0,0.033,0.7829999999999999,0.953,0.14,0.133,,https://i.scdn.co/image/ab67616d0000b273dfd165103fba4a50789afc91
All By Myself - Single Edit,6G3DBTj1s8fuKMAvzTK5JI,54.0,Eric Carmen,0.442,0.39799999999999996,-10.777999999999999,0,0.0315,0.721,0.763,0.488,0.17800000000000002,https://p.scdn.co/mp3-preview/46eb43d9895ce0975e1b0f40037a5a129459166f?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27356daa802ddbaedf04e8123cc
O.P.P. (Re-Recorded),19QKzuW4mgq2Kuu7aHa4Ll,54.0,Naughty By Nature,0.7759999999999999,0.968,-4.25,0,0.0914,0.00147,0.0,0.204,0.667,https://p.scdn.co/mp3-preview/d8c8340cd0c1850428711c5d4dffe0ead349b0b7?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273b2e800057da624185597c9c8
Would I Lie to You? - Remastered Version,1lJZSsMoWEbrgaY6CxPMf8,54.0,Eurythmics,0.613,0.912,-4.638,1,0.0328,0.0378,3.65e-05,0.52,0.733,https://p.scdn.co/mp3-preview/32687c65be3f83acea7eaf3e522ee92047379c8e?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2738b9d4820655b6bf032ed41f3
Cómo Me Duele,50GRxHQ3cW2yBmlPIF9urf,54.0,Valentín Elizalde,0.7909999999999999,0.772,-5.642,1,0.0425,0.48,5.6899999999999994e-05,0.27399999999999997,0.9790000000000001,,https://i.scdn.co/image/ab67616d0000b2739b86316b60e3255edb591e23
Hotel (feat. R. Kelly),4hHXhCRSnOKd6nMGaivmD0,54.0,Cassidy,0.68,0.659,-6.855,1,0.21100000000000002,0.11800000000000001,0.0,0.107,0.41100000000000003,https://p.scdn.co/mp3-preview/d1265ecabfd5a8c19f5e06ad86b6c55f80288a33?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27317721e49495e9a13d3d6f40f
Big Pimpin' / Papercut,4DLH2fr8pWX1iksMrk47Kw,54.0,JAY-Z,0.765,0.938,-2.718,1,0.0481,0.196,0.000687,0.485,0.965,https://p.scdn.co/mp3-preview/8838b21192b457beb2ee18fe8610b6e81448d696?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273d3acd0f2186daa8e4cb0f65b
Pedron Antraxx,5d0NFQJ1O2CUMMtmgjwK3F,54.0,Tito Torbellino,0.735,0.758,-4.712,1,0.0554,0.7140000000000001,0.0,0.107,0.9440000000000001,https://p.scdn.co/mp3-preview/bb726bea8c8427e570812b03d1cf38d6457ac62b?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273e88c2f0cd15b92afe51b476c
Aguanta Corazón,15wuN0eAzGzwLZk5AD9ptF,54.0,Lalo Mora,0.924,0.573,-8.951,1,0.298,0.166,2.92e-06,0.0793,0.828,,https://i.scdn.co/image/ab67616d0000b2731a356e3ded866a1d4b71e847
Guns for Hire,31F5kR9fPxI7lBV0Stfl4V,54.0,AC/DC,0.49,0.902,-3.759,1,0.0493,0.00331,0.354,0.0695,0.825,https://p.scdn.co/mp3-preview/7d53ec5ad357ded8dc2d3d385c22fe17df35a693?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2739a0c5b4e72a4aaf8912fa3f7
Sam's Town,77Kh98jRHI40rIAKnBs7cl,54.0,The Killers,0.268,0.96,-4.596,0,0.0963,0.000217,0.00604,0.732,0.44,,https://i.scdn.co/image/ab67616d0000b2734f87f14089217e3f70a5f39e
Don't Think They Know (feat. Aaliyah),3uVCPFmavlWGQUqeYh8HhR,54.0,Chris Brown,0.479,0.606,-6.4239999999999995,0,0.0676,0.0241,0.0,0.33,0.626,https://p.scdn.co/mp3-preview/fed3a8a399f31f31128cb36758402bd1e3607945?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273d7a62d8635f92472d57d5f8d
Girls Just Want to Have Fun,0QVgZCAnasHo3TevIz7XLW,54.0,Cyndi Lauper,0.7040000000000001,0.721,-7.346,1,0.0369,0.37799999999999995,0.000113,0.373,0.769,https://p.scdn.co/mp3-preview/06266cba68cfd33f78d5b1d0dabde99556bfe7bb?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27363e510334226d130b40a5b83
Seven Nights In Eire,4CZrDF50zES5KDHmZbX2BG,54.0,Reckless Kelly,0.446,0.601,-7.604,0,0.0276,0.16399999999999998,9.65e-06,0.166,0.735,,https://i.scdn.co/image/ab67616d0000b273e0a23e44c594253128de44ac
Life in a Northern Town,4m3OS54KWywYhP7WD7z1cg,54.0,The Dream Academy,0.563,0.47600000000000003,-13.342,1,0.0329,0.265,0.0,0.494,0.43200000000000005,https://p.scdn.co/mp3-preview/87300f47a8efac55c26eac37e9a935d451834c21?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27365ad3497dc02a54091a7c6db
Y No Hago Mas Na',4fHYtAHpAmsFDq7kTLzgh5,54.0,El Gran Combo De Puerto Rico,0.812,0.679,-6.007999999999999,0,0.0559,0.68,0.00283,0.314,0.852,https://p.scdn.co/mp3-preview/18443132416dc328b6bfcf19451125dc011f9173?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27349e5996b9e731a9328705da5
Wifey,3NEzjZbeSCy72Kx1clSYgC,54.0,Next,0.8290000000000001,0.652,-8.693,0,0.10800000000000001,0.067,0.0,0.0812,0.726,https://p.scdn.co/mp3-preview/2d9fe7f2a7cc8e2d4ac6982e09c10372341dc23a?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273524ff09a6967dd207ee5d79d
Y Aquí Estoy,2fKimbKY2cu68b63kYODbB,54.0,K-Paz De La Sierra,0.613,0.84,-4.678999999999999,0,0.0451,0.26899999999999996,1.85e-06,0.322,0.9390000000000001,,https://i.scdn.co/image/ab67616d0000b273947f53fd55ea3b9fb7f9df52
Sweet Sacrifice,7hlXiMxN81uctLsvbtHZ8x,54.0,Evanescence,0.486,0.87,-4.947,1,0.0903,0.006790000000000001,3.15e-06,0.312,0.336,,https://i.scdn.co/image/ab67616d0000b2737b8aabae10ab5bbe7c7f11c5
Black Magic,4cJhBmeJ7KiBeuy7oxRnZ3,54.0,Slayer,0.14800000000000002,0.9079999999999999,-7.336,1,0.11699999999999999,4.66e-06,0.614,0.0723,0.0707,https://p.scdn.co/mp3-preview/7978e9cf674f6316e62cb408cce3e7605818f666?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27309f13998cfda5cdaf484f051
Happily Ever After,21fXrzSxu2y51Yqf57QycI,54.0,Case,0.747,0.609,-6.985,0,0.0347,0.138,0.0,0.105,0.555,,https://i.scdn.co/image/ab67616d0000b273bfdf49d9acafd5f5493f6616
drowning.,1Gu6GxGcH3D0abQDS2IOyF,54.0,Eden Project,0.505,0.7509999999999999,-4.621,0,0.0956,0.122,0.0,0.868,0.27699999999999997,https://p.scdn.co/mp3-preview/234624a3fe7a2f305edfca8a7837f4bb8a01342b?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273616450de17b5a6ecf625b37e
