,name,spotify_id,popularity
0,Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,100
1,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,95
2,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,95
3,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,96
4,Lemonade,02kDW379Yfd5PzW5A6vuGt,94
5,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,91
6,Wishing Well,2U5WueTLIK5WJLD7mvDODv,91
7,Dynamite,0t1kP63rueHleOhQkYSXFY,97
8,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,97
9,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,93
10,Heather,4xqrdfXkTW4T0RauPLv3WA,94
11,Come & Go (with Marshmello),2Y0wPrPQBrGhoLn14xRYCG,91
12,Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,94
13,Mood Swings (feat. Lil Tjay),5rZlwNFl01HqLWBQGryKSm,92
14,you broke me first,45bE4HXI0AwGZXfZtMp8JR,94
15,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,91
16,What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,91
17,Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,86
18,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,89
19,Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,87
20,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,85
21,GREECE (feat. Drake),35RJhm1pEovTBwnNR0zWad,90
22,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,92
23,Wolves (feat. Post Malone),33gwZOGJWEZ7dRWPqPxBEZ,86
24,We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,84
25,Midnight Sky,27ycaQnQAxaPiyeg3nr2aB,91
26,Hate The Other Side (with Marshmello & The Kid Laroi),0ada5XsQGLPUVbmTCkAP49,85
27,After Party,527k23H0A4Q0UJN3vGs0Da,86
28,Mr. Right Now (feat. Drake),4Q34FP1AT7GEl9oLgNtiWj,85
29,Runnin,5SWnsxjhdcEDc7LJjq9UHk,85
30,Conversations,4K06PO78fW4mnBVenxGNob,85
31,Smile (with The Weeknd),6wQlQrTY5mVS8EGaFZVwVF,87
32,21,3JKgcAa7r07ocVWcV8bS0H,85
33,Got It On Me,25zlnOAzbVoOzIeXSvQFf1,86
34,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,86
35,24 (feat. Lil Baby),7v96VvFLS0wSYT8kewNLRy,84
36,FRANCHISE (feat. Young Thug & M.I.A.),4jVBIpuOiMj1crqd8LoCrJ,87
37,Righteous,5dOxHHMOFAbG3VH23t0xNm,84
38,Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,94
